,X,Y
1417,143,5
1418,144,5
1419,145,12
1420,146,5
1421,147,9
1422,148,23
1423,149,13
1424,150,13
1425,151,10
1426,152,32
1427,153,38
1428,154,20
1429,155,29
1430,156,5
1431,157,5
1432,158,5
1433,159,40
1434,160,9
1435,161,15
1436,162,49
1437,163,33
1438,164,23
1439,165,17
1440,166,44
1441,167,14
1442,168,37
1443,169,48
1444,170,5
1445,171,22
1446,172,27
1447,173,24
1448,174,45
1449,175,23
1450,176,40
1451,177,20
1452,178,18
1453,179,24
1454,180,23
1455,181,24
1456,182,35
1457,183,25
1458,184,15
1459,185,30
1460,186,22
1461,187,50
1462,188,49
1463,189,55
1464,190,62
1465,190,74
1466,191,61
1467,192,68
1468,192,63
1469,193,72
1470,194,68
1471,195,58
1472,196,60
1473,197,55
1474,198,63
1475,199,45
1476,200,60
1477,201,57
1478,202,45
1479,203,22
1480,204,19
1481,205,1
1482,206,363
1483,207,5
1484,208,1
1485,209,5
1486,210,1
1487,211,343
1488,212,1
1489,213,331
1490,214,1
1491,215,329
1492,215,324
1493,216,321
1494,217,330
1495,218,321
1496,219,322
1497,220,312
1498,221,310
1499,222,309
1500,222,313
1501,223,314
1502,224,304
1503,225,306
1504,225,308
1505,226,303
1506,227,306
1507,227,305
1508,228,301
1509,229,305
1510,229,308
1511,230,304
1512,230,305
1513,231,306
1514,231,305
1515,232,304
1516,232,305
1517,233,308
1518,233,307
1519,234,306
1520,234,307
1521,235,311
1522,235,309
1523,236,310
1524,236,321
1525,237,324
1526,237,318
1527,238,329
1528,238,338
1529,239,340
1530,239,336
1531,240,339
1532,240,339
1533,241,343
1534,241,338
1535,242,339
1536,242,339
1537,243,341
1538,243,338
1539,244,341
1540,244,339
1541,245,340
1542,245,333
1543,246,339
1544,246,338
1545,247,338
1546,247,337
1547,248,339
1548,248,337
1549,249,339
1550,249,334
1551,250,337
1552,250,339
1553,250,338
1554,251,338
1555,251,339
1556,251,339
1557,252,336
1558,252,339
1559,252,339
1560,253,334
1561,253,339
1562,253,339
1563,254,337
1564,254,338
1565,254,339
1566,254,338
1567,255,337
1568,255,339
1569,255,341
1570,255,339
1571,255,338
1572,256,336
1573,256,338
1574,256,338
1575,256,338
1576,256,339
1577,256,337
1578,256,338
1579,256,338
1580,255,338
1581,255,337
1582,255,339
1583,255,338
1584,255,338
1585,254,335
1586,254,339
1587,254,338
1588,254,337
1589,253,336
1590,253,338
1591,253,336
1592,252,337
1593,252,338
1594,252,337
1595,251,335
1596,251,337
1597,251,335
1598,250,339
1599,250,338
1600,250,339
1601,249,337
1602,249,337
1603,248,338
1604,248,339
1605,247,335
1606,247,337
1607,246,335
1608,246,341
1609,245,337
1610,245,341
1611,244,336
1612,244,341
1613,243,337
1614,243,340
1615,242,338
1616,242,339
1617,241,338
1618,241,341
1619,240,338
1620,240,339
1621,239,337
1622,239,339
1623,238,333
1624,238,336
1625,237,334
1626,237,324
1627,236,314
1628,236,318
1629,235,317
1630,235,314
1631,234,307
1632,234,308
1633,233,306
1634,233,308
1635,232,306
1636,232,305
1637,231,306
1638,231,309
1639,230,305
1640,230,306
1641,229,305
1642,229,304
1643,228,305
1644,228,303
1645,227,306
1646,226,304
1647,225,305
1648,224,309
1649,223,307
1650,222,305
1651,221,310
1652,220,310
1653,219,310
1654,218,312
1655,217,317
1656,216,312
1657,215,326
1658,214,332
1659,213,1
1660,212,5
1661,211,1
1662,210,5
1663,209,1
1664,208,1
1665,207,1
1666,206,5
1667,205,365
1668,204,1
1669,203,5
1670,202,20
1671,201,51
1672,200,49
1673,199,55
1674,198,45
1675,197,53
1676,196,50
1677,195,58
1678,194,57
1679,193,57
1680,192,69
1681,191,65
1682,190,71
1683,189,65
1684,188,62
1685,187,62
1686,186,47
1687,185,62
1688,184,38
1689,183,43
1690,182,35
1691,181,27
1692,180,17
1693,179,25
1694,178,39
1695,177,28
1696,176,22
1697,175,22
1698,174,34
1699,173,24
1700,172,20
1701,171,37
1702,170,10
1703,169,19
1704,168,28
1705,167,24
1706,166,29
1707,165,33
1708,164,33
1709,163,44
1710,162,29
1711,161,30
1712,160,8
1713,159,18
1714,158,38
1715,157,35
1716,156,22
1717,155,32
1718,154,27
1719,153,25
1720,152,5
1721,151,19
1722,150,8
1723,149,1
1724,148,49
1725,147,13
1726,146,24
1727,145,50
1728,144,43
1729,143,5
1730,142,5
1731,141,28
1732,140,8
1733,139,7
1734,138,20
1735,137,5
1736,136,5
1737,135,19
1738,134,18
1739,133,32
1740,132,24
1741,131,18
1742,130,15
1743,129,13
1744,128,7
1745,127,9
1746,126,13
1747,125,8
1748,124,4
1749,123,5
1750,122,12
1751,121,8
1752,120,5
1753,119,5
1754,118,39
1755,117,19
1756,116,20
1757,115,1
1758,114,49
1759,113,8
1760,112,10
1761,111,18
1762,110,1
1763,109,9
1764,108,1
1765,107,1
1766,106,1
1767,105,1
1768,104,1
1769,103,1
1770,102,1
1771,101,1
1772,100,1
1773,99,1
1774,98,1
1775,97,1
1776,96,1
1777,95,1
1778,94,1
1779,93,1
1780,92,1
1781,91,1
1782,90,1
1783,89,1
1784,88,1
1785,87,1
1786,86,1
1787,85,356
1788,84,316
1789,83,1
1790,82,1
1791,81,1
1792,80,318
1793,79,321
1794,78,1
1795,77,319
1796,76,1
1797,75,293
1798,74,1
1799,73,301
1800,72,1
1801,71,1
1802,70,279
1803,69,1
1804,68,1
1805,67,1
1806,66,1
1807,65,1
1808,64,1
1809,63,1
1810,62,1
1811,61,285
1812,60,297
1813,59,1
1814,58,1
1815,57,1
1816,56,1
1817,55,1
1818,54,1
1819,53,1
1820,52,1
1821,51,478
1822,50,481
1823,49,1
1824,48,470
1825,47,481
1826,46,487
1827,45,483
1828,44,498
1829,43,488
1830,42,488
1831,41,486
1832,40,471
1833,39,471
1834,38,1
1835,37,483
1836,36,480
1837,35,478
1838,34,483
1839,33,1
1840,32,453
1841,31,1
1842,30,1
1843,29,1
1844,28,509
1845,27,1
1846,26,1
1847,25,70
1848,24,34
1849,23,56
1850,22,53
1851,21,55
1852,20,70
1853,19,61
1854,18,68
1855,17,72
1856,16,75
1857,15,72
1858,14,75
1859,13,75
1860,12,74
1861,11,73
1862,10,74
1863,9,74
1864,8,74
1865,7,72
1866,6,69
1867,5,67
1868,4,66
1869,3,65
1870,2,66
1871,1,65
1872,0,62
1873,-1,62
1874,-2,62
1875,-3,62
1876,-4,61
1877,-5,61
1878,-6,63
1879,-7,62
1880,-8,62
1881,-9,62
1882,-10,63
1883,-11,62
1884,-12,62
1885,-13,62
1886,-14,63
1887,-15,63
1888,-16,65
1889,-17,64
1890,-18,65
1891,-19,65
1892,-20,64
1893,-21,64
1894,-22,64
1895,-23,63
1896,-24,64
1897,-25,63
1898,-26,64
1899,-27,64
1900,-28,63
1901,-29,62
1902,-30,60
1903,-31,59
1904,-32,59
1905,-33,59
1906,-34,60
1907,-35,62
1908,-36,63
1909,-37,64
1910,-38,67
1911,-39,67
1912,-40,67
1913,-41,68
1914,-42,68
1915,-43,68
1916,-44,67
1917,-45,67
1918,-46,69
1919,-47,68
1920,-48,68
1921,-49,68
1922,-50,68
1923,-51,68
1924,-52,69
1925,-53,69
1926,-54,70
1927,-55,69
1928,-56,69
1929,-57,69
1930,-58,69
1931,-59,68
1932,-60,68
1933,-61,69
1934,-62,69
1935,-63,69
1936,-64,70
1937,-65,70
1938,-66,71
1939,-67,70
1940,-68,70
1941,-69,71
1942,-70,71
1943,-71,70
1944,-72,71
1945,-73,69
1946,-74,72
1947,-75,71
1948,-76,70
1949,-77,70
1950,-78,72
1951,-79,71
1952,-80,71
1953,-81,71
1954,-82,70
1955,-83,70
1956,-84,72
1957,-85,71
1958,-86,72
1959,-87,72
1960,-88,72
1961,-89,72
1962,-90,69
1963,-91,68
1964,-92,67
1965,-93,66
1966,-94,66
1967,-95,67
1968,-96,66
1969,-97,65
1970,-98,65
1971,-99,66
1972,-100,66
1973,-101,65
1974,-102,66
1975,-103,65
1976,-104,66
1977,-105,66
1978,-106,66
1979,-107,66
1980,-108,66
1981,-109,66
1982,-110,66
1983,-111,66
1984,-112,66
1985,-113,67
1986,-114,67
1987,-115,66
1988,-116,67
1989,-117,67
1990,-118,67
1991,-119,67
1992,-120,68
1993,-121,68
1994,-122,72
1995,-123,73
1996,-124,75
1997,-125,76
1998,-126,79
1999,-127,80
2000,-128,87
2001,-129,100
2002,-130,110
2003,-131,115
2004,-132,120
2005,-133,114
2006,-134,120
2007,-135,118
2008,-136,139
2009,-137,124
2010,-138,121
2011,-139,117
2012,-140,123
2013,-141,121
2014,-142,121
2015,-143,113
2016,-144,110
2017,-145,110
2018,-146,111
2019,-147,107
2020,-148,107
2021,-149,106
2022,-150,107
2023,-151,103
2024,-152,104
2025,-153,105
2026,-154,105
2027,-155,105
2028,-156,110
2029,-157,103
2030,-158,103
